eITMS Code,Manufacturer,Model,Lab,Aisle,Location In Aisle,Financial Owner Department,Status,Serial Number,Project Name,Project Organization,Project ID
00046ED,CISCO,N7K-F132XP-15,RTP10 SDU Lab,HH,12,020022838,ACTIVE,JAF1538BPAN,SDU VMDC Ent,SDU-RTP10,4
00046EF,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1536BQBC,SDU Spares,SDU-RTP10,3
0004717,CISCO,ASA-SSP-10-INC,RTP10 SDU Lab,F,21,020022838,ACTIVE,JAF1527DEJJ,SDU CVF,SDU-RTP10,2
00047A9,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,G,24,020022838,ACTIVE,JAF1536BQGH,SDU CVF,SDU-RTP10,2
00047E9,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,24,020022838,ACTIVE,FOC1545R02Q,SDU CVF,SDU-RTP10,2
000485A,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,23,020022838,ACTIVE,FOC1545R02T,SDU CVF,SDU-RTP10,2
000487E,CISCO,R200-1120402W,RTP10 SDU Lab,F,28,020022838,ACTIVE,QCI1539A3EY,SDU CVF,SDU-RTP10,2
0004888,CISCO,N5K-C5596UP-FA,RTP10 SDU Lab,G,27,020022838,ACTIVE,FOX1516GAE2,SDU CVF,SDU-RTP10,2
0004935,CISCO,N7K-F132XP-15,RTP10 SDU Lab,DD,30,020022838,ACTIVE,JAF1526AHCH,SDU Spares,SDU-RTP10,3
0004951,CISCO,N5K-C5596UP-FA,RTP10 SDU Lab,G,27,020022838,ACTIVE,FOX1513GHG8,SDU CVF,SDU-RTP10,2
0004979,CISCO,N3K-C3064PQ-10GE,RTP10 SDU Lab,F,29,020022838,ACTIVE,FOC1546R0SL,SDU CVF,SDU-RTP10,2
0004999,CISCO,N7K-F132XP-15,RTP10 SDU Lab,HH,11,020022838,ACTIVE,JAF1519AHEF,SDU VMDC Ent,SDU-RTP10,4
00049DE,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,HH,08,020022838,ACTIVE,SSI150412Z8,SDU VMDC Ent,SDU-RTP10,4
00049EF,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,E,05,020022838,ACTIVE,SSI144810MH,SDU Spares,SDU-RTP10,3
00049F6,CISCO,NAM2220,RTP10 SDU Lab,D,21,020022838,ACTIVE,FTX150452Z9,SDU Spares,SDU-RTP10,3
00049F8,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,G,24,020022838,ACTIVE,JAF1536BQEN,SDU CVF,SDU-RTP10,2
0004A63,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,GG,02,020022838,ACTIVE,SSI145000JV,SDU VMDC Ent,SDU-RTP10,4
0004A6D,CISCO,N10-S6100-UPG,RTP10 SDU Lab,FF,28,020022838,ACTIVE,SSI1526200P,SDU CVF,SDU-RTP10,2
0004A71,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,FF,26,020022838,ACTIVE,JAF1536BQBS,SDU CVF,SDU-RTP10,2
0004A72,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,HH,05,020022838,ACTIVE,JAF1536BQDL,SDU VMDC Ent,SDU-RTP10,4
0004A78,CISCO,N7K-M108X2-12L,RTP10 SDU Lab,HH,03,020022838,ACTIVE,JAF1536BQBL,SDU VMDC Ent,SDU-RTP10,4
0004B88,CISCO,B230-BASE-M2,RTP10 SDU Lab,GG,06,020022838,ACTIVE,FCH1601735Q,SDU VMDC Ent,SDU-RTP10,4
0004C0B,CISCO,N5K-C5548P-FA,RTP10 SDU Lab,GG,02,020022838,ACTIVE,SSI144807M5,SDU VMDC Ent,SDU-RTP10,4
